,,Insertion_sort,,Merge_sort
Size,ExecutionTime1,Comparisons1,ExecutionTime2,Comparisons2
851,60334,185165,47542,3664
852,59208,184404,48583,3745
853,60125,181803,50625,3728
854,58958,181588,44167,3683
855,62042,190119,48833,3748
856,61500,189079,47000,3709
857,58792,182179,46792,3722
858,60667,179965,60000,3727
859,65750,184322,53000,3741
860,59208,183911,51667,3737
861,58375,179069,46333,3758
862,58417,181853,43667,3752
863,60167,187183,48041,3730
864,59500,186285,45292,3777
865,58750,181893,47250,3747
866,58375,181673,44292,3780
867,60417,186330,58708,3765
868,58541,183149,44083,3797
869,62958,188452,53375,3780
870,60542,184310,50583,3777
871,62542,185236,56000,3742
872,67125,189182,53250,3800
873,59750,184267,51458,3847
874,59708,186006,43791,3829
875,62834,194836,48000,3826
876,60542,189810,43458,3803
877,60500,185922,49916,3813
878,63458,195468,46625,3816
879,59167,181794,50333,3813
880,61834,192836,47875,3816
881,62750,193286,51834,3805
882,64459,196456,64792,3861
883,62333,191539,50250,3889
884,66000,198402,54625,3845
885,69292,193401,67583,3890
886,65333,204733,44542,3875
887,63125,194245,57875,3858
888,63000,196313,45375,3808
889,63209,198415,46333,3904
890,63292,198533,44708,3888
891,64084,200083,50000,3884
892,63000,195339,48875,3907
893,66291,203800,50542,3862
894,68458,201137,51000,3901
895,64000,197172,52125,3918
896,65959,204277,47750,3891
897,64583,197328,63125,3937
898,63416,197487,44125,3886
899,64625,201714,53958,3874
900,64625,198648,51042,3901
901,69208,213861,50917,3923
902,65292,197898,52625,3944
903,67875,206600,57416,3936
904,66917,211502,44917,3944
905,66959,209234,47208,4012
906,65000,203310,46333,3941
907,66041,206037,63167,3963
908,63417,198277,49250,3929
909,66583,205885,53125,3991
910,68000,210504,58833,4040
911,73375,211938,53250,4000
912,81167,203845,83084,3999
913,73958,208654,56542,3998
914,66875,208110,49875,3973
915,68417,212410,61667,3999
916,67791,214016,46750,4005
917,67209,206073,55375,4066
918,67875,204273,52958,4066
919,69375,204374,50875,4013
920,69166,213931,67875,3990
921,67750,209163,52459,4043
922,69250,216071,49542,4019
923,70667,219464,53333,4027
924,68833,216256,58000,4037
925,69083,206635,57542,4052
926,87125,218491,72292,4069
927,69667,218101,47292,4070
928,67208,210958,48333,4053
929,71458,214366,65875,4056
930,72125,219042,57000,4100
931,71833,222821,53625,4090
932,69791,218782,51625,4077
933,71125,222238,52792,4093
934,68625,216312,65167,4136
935,69792,216046,54625,4109
936,70250,217070,52250,4080
937,95500,219482,53958,4112
938,89625,220102,58958,4097
939,71166,218614,68417,4142
940,70875,216246,53083,4155
941,71875,220267,57875,4182
942,71583,220709,55042,4114
943,71542,221811,53416,4158
944,72417,224428,52792,4125
945,71875,220432,54875,4096
946,72333,228984,51083,4157
947,71833,223126,52917,4157
948,73667,233395,47250,4127
949,73875,225429,52833,4187
950,97167,226615,54042,4101
951,70667,221345,65875,4205
952,74000,229327,66417,4211
953,79750,226880,58541,4231
954,73791,227522,56542,4197
955,75333,231556,57083,4173
956,72292,228767,46875,4155
957,74875,232351,51541,4228
958,71083,222364,65750,4262
959,73209,227336,64334,4223
960,73792,233780,48000,4204
961,72083,225821,50000,4261
962,75083,237098,48750,4251
963,75083,232258,56458,4212
964,73250,230875,49042,4282
965,74959,235589,51333,4205
966,87334,231846,72625,4209
967,76542,238758,54458,4265
968,81000,227735,69166,4258
969,86000,239330,62667,4270
970,80709,237664,56792,4277
971,87166,235561,54875,4270
972,79417,245848,62000,4259
973,77000,234937,54250,4276
974,75833,236268,54667,4308
975,75625,233497,56083,4288
976,74500,226243,79500,4304
977,79209,246538,55917,4322
978,75958,235239,55875,4288
979,78250,232100,54166,4333
980,79375,234378,57416,4318
981,74416,229476,61125,4306
982,89208,249532,62458,4309
983,79583,249357,56167,4337
984,86959,241413,62042,4289
985,108625,244633,55084,4340
986,78208,243702,55542,4327
987,75459,232434,56208,4367
988,86125,234947,70125,4308
989,86708,250014,58500,4350
990,78083,243034,55417,4344
991,75583,236772,51375,4352
992,79917,241886,52000,4395
993,79166,246688,56000,4364
994,79333,248190,74458,4362
995,81750,246055,52791,4344
996,78625,242955,105833,4395
997,82833,251013,110542,4379
998,4195625,255458,77666,4382
999,1713458,248161,407083,4422
