,Mersertion,,Merge
Size,ExecutionTime1,Comparisons1,ExecutionTime2,Comparisons2
1215456,295137583,97533909,110129959,11662493
7793938,649715417,161264216,773593458,84883476
9873632,761883584,181321296,939472834,109691066
3866511,430779792,121516869,357149542,40168122
616997,252978667,93174259,53632833,5619758
7127145,609131000,153547545,667054292,77380763
9227271,731468333,174908590,868186625,101852419
8950125,709893875,172386493,846559375,98427498
676148,256552708,94001767,59977125,6206687
8568644,691357125,168080578,814370250,93638041
1023703,276362958,96231034,91661000,9615361
9391010,742221875,176848013,883694416,103759587
6539752,585327791,148371314,631588000,70572206
6057961,555958375,143770477,571550500,65076752
33996,222256208,89978150,2491250,236731
3142480,393291792,115168879,289084542,32139670
5530538,527568833,139516135,525179583,59164946
8341916,679036292,166073714,786958916,90750186
729830,258341875,94266188,63536042,6735764
7029257,607022334,152723262,657145375,76276147
2251099,342597750,106149959,204283292,22532618
869275,267570667,95111581,76661583,8124753
9014751,723187625,172858921,850001834,99261841
7616566,640725625,159962639,714530416,82901636
2145259,334904625,105209766,194701792,21303626
1019072,273906583,96227073,90778583,9571891
2534970,358556875,110683619,230830041,25676402
8400640,684172542,166580460,787988458,91351317
6982460,604657459,152377028,654467958,75752577
5695914,533045125,141110115,562026542,61038828
3383346,405788000,116734096,310806042,34923809
4756484,480410167,129092224,440085000,50258355
5182264,506623500,137156747,480677334,55098257
9827941,768987834,180833057,927125166,109138909
1144568,281497208,97029166,102174167,10907543
7039662,619132875,152932459,659717542,76394764
